category,Calendar,Contacts,Camera,Location,Microphone,Phone,SMS,Call Log,Storage,Sensors,Count
Art & Design,2,35,90,77,16,95,0,0,483,0,737
Auto & Vehicles,22,72,184,321,50,167,4,2,363,0,528
Beauty,3,30,92,69,18,54,0,0,215,0,320
Books & Reference,44,130,219,381,90,214,1,1,1070,0,2016
Business,304,1137,2220,2276,726,1606,36,11,3437,0,4181
Comics,0,15,13,23,8,29,0,0,79,0,124
Communication,62,607,620,563,544,663,76,64,1035,2,1433
Dating,3,75,174,214,113,91,2,1,285,0,319
Education,334,961,1457,1411,964,1613,18,1,3627,0,5763
Entertainment,51,391,586,821,351,798,4,1,2440,0,3670
Events,74,86,202,166,30,92,0,0,281,0,393
Finance,70,728,1192,927,248,918,71,3,1595,1,2313
Food & Drink,39,234,458,770,123,432,8,0,820,2,1272
GAME,108,825,643,1846,386,1745,19,8,5430,2,11259
Health & Fitness,335,476,816,1109,285,616,50,52,1520,46,2372
House & Home,10,98,186,273,66,136,4,0,367,1,512
Libraries & Demo,2,20,39,47,16,33,0,0,86,0,140
Lifestyle,333,735,1113,1558,385,1064,25,4,2397,1,3340
Maps & Navigation,30,198,310,836,116,311,10,3,626,1,975
Medical,75,171,380,348,212,292,6,1,639,7,909
Music & Audio,41,350,224,660,576,1011,0,0,2069,1,2960
News & Magazines,16,264,157,406,90,243,3,0,821,0,1148
Parenting,10,50,79,81,34,52,1,1,147,0,222
Personalization,52,251,218,417,72,708,5,9,2395,17,3073
Photography,2,96,872,246,140,195,0,0,1601,1,1629
Productivity,168,551,925,880,376,664,28,25,1866,3,2525
Shopping,37,377,876,916,173,564,15,1,1268,0,1659
Social,71,408,777,678,430,495,18,9,1304,7,1532
Tools,101,646,1233,1491,553,1025,41,22,2880,32,4691
Travel & Local,149,485,835,1640,197,712,20,5,1568,3,2091
Video Players & Editors,6,77,164,109,165,113,4,0,582,0,615
Weather,7,31,19,296,4,71,0,0,172,1,342
